CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.092070579528808594" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.14384829998016357" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.041627548635005951" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.018492236733436584" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.019017139449715614" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.017723558470606804" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.023122509941458702" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.036478329449892044" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.040356904268264771" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.036828231066465378" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.998356*((1.+(0.0125579*x))/(1.+(0.0139437*x))))+0.057539317756891251" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x)))" 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x)))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.20738834142684937" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.05886869877576828" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.056200228631496429" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.044530745595693588" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.052589744329452515" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.054943770170211792" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.09459388256072998" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.12696748971939087" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.18844301998615265" 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.069129444658756256" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.01962289959192276" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.01873341016471386" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.014843582175672054" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.017529914155602455" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.01831459067761898" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.031531292945146561" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.042322497814893723" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))-0.062814339995384216" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.20738834142684937" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.05886869877576828" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.056200228631496429" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.044530745595693588" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.052589744329452515" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.054943770170211792" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.09459388256072998" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.12696748971939087" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.18844301998615265" 
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.069129444658756256" 
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.01962289959192276" 
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.01873341016471386" 
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.014843582175672054" 
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.017529914155602455" 
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.01831459067761898" 
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.031531292945146561" 
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.042322497814893723" 
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.91342*((1.+(0.00500936*x))/(1.+(0.00526136*x))))+0.062814339995384216" 
1, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x)))" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x)))" 
1, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.22094267606735229" 
1, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.065181739628314972" 
1, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.073732919991016388" 
1, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.080527946352958679" 
1, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.088950358331203461" 
1, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.15302865207195282" 
1, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.18849174678325653" 
1, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.14635613560676575" 
1, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.19157430529594421" 
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.073647558689117432" 
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.021727247163653374" 
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.024577639997005463" 
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.026842650026082993" 
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.029650120064616203" 
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.05100955069065094" 
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.06283058226108551" 
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.048785381019115448" 
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))-0.063858099281787872" 
1, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.22094267606735229" 
1, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.065181739628314972" 
1, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.073732919991016388" 
1, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.080527946352958679" 
1, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.088950358331203461" 
1, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.15302865207195282" 
1, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.18849174678325653" 
1, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.14635613560676575" 
1, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.19157430529594421" 
1, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.073647558689117432" 
1, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.021727247163653374" 
1, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.024577639997005463" 
1, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.930139*((1.+(0.0235044*x))/(1.+(0.025115*x))))+0.026842650026082993" 
